Vol(mV),Time(s),Relative Mois,Temperature(C)
502,10,0.387878788,-1.17
502,20,0.387878788,-1.17
503,30,0.384848485,-2.15
503,40,0.384848485,-1.17
502,50,0.387878788,-1.66
502,60,0.387878788,-1.17
502,70,0.387878788,-1.66
502,80,0.387878788,-1.17
502,90,0.387878788,-1.66
502,100,0.387878788,-1.17
503,110,0.384848485,-1.66
502,120,0.387878788,-1.17
502,130,0.387878788,-1.66
503,140,0.384848485,-1.66
503,150,0.384848485,-1.17
503,160,0.384848485,-1.17
502,170,0.387878788,-1.17
502,180,0.387878788,-2.15
502,190,0.387878788,-1.66
502,200,0.387878788,-2.15
502,210,0.387878788,-1.17
503,220,0.384848485,-1.17
502,230,0.387878788,-1.66
502,240,0.387878788,-1.66
502,250,0.387878788,-1.17
503,260,0.384848485,-1.17
503,270,0.384848485,-1.17
503,280,0.384848485,-1.17
503,290,0.384848485,-0.68
502,300,0.387878788,-1.17
502,310,0.387878788,-1.17
502,320,0.387878788,-1.66
502,330,0.387878788,-1.17
503,340,0.384848485,-1.17
503,350,0.384848485,-1.17
503,360,0.384848485,-1.66
502,370,0.387878788,-1.66
503,380,0.384848485,-2.15
502,390,0.387878788,-1.17
502,400,0.387878788,-1.66
502,410,0.387878788,-1.17
503,420,0.384848485,-1.66
502,430,0.387878788,-1.17
502,440,0.387878788,-2.15
503,450,0.384848485,-1.17
502,460,0.387878788,-1.17
503,470,0.384848485,-1.66
502,480,0.387878788,-2.15
502,490,0.387878788,-1.17
503,500,0.384848485,-1.17
502,510,0.387878788,-1.17
503,520,0.384848485,-1.17
502,530,0.387878788,-1.17
502,540,0.387878788,-1.17
503,550,0.384848485,-1.66
502,560,0.387878788,-0.68
503,570,0.384848485,-1.66
503,580,0.384848485,-1.66
503,590,0.384848485,-1.17
502,600,0.387878788,-1.17
502,610,0.387878788,-2.15
502,620,0.387878788,-2.15
503,630,0.384848485,-1.66
503,640,0.384848485,-1.66
502,650,0.387878788,-1.66
502,660,0.387878788,-1.66
503,670,0.384848485,-1.66
503,680,0.384848485,-2.15
502,690,0.387878788,-1.66
502,700,0.387878788,-1.66
502,710,0.387878788,-2.15
502,720,0.387878788,-1.66
502,730,0.387878788,-1.17
502,740,0.387878788,-1.17
502,750,0.387878788,-2.15
502,760,0.387878788,-1.66
502,770,0.387878788,-1.17
502,780,0.387878788,-1.66
502,790,0.387878788,-2.15
502,800,0.387878788,-2.15
503,810,0.384848485,-1.66
503,820,0.384848485,-1.66
502,830,0.387878788,-1.17
502,840,0.387878788,-1.17
503,850,0.384848485,-1.66
502,860,0.387878788,-1.66
502,870,0.387878788,-1.66
502,880,0.387878788,-1.17
502,890,0.387878788,-1.66
502,900,0.387878788,-2.15
502,910,0.387878788,-2.15
502,920,0.387878788,-2.15
502,930,0.387878788,-1.66
502,940,0.387878788,-1.66
502,950,0.387878788,-1.66
502,960,0.387878788,-2.64
